theta1,theta2,omega1,omega2,t
0.456372,2.973325,-5.190576,-2.333745,5.900000
0.347533,2.918345,-5.686339,-3.171111,5.920000
0.229278,2.846291,-6.128178,-4.036824,5.940000
0.102925,2.756861,-6.492118,-4.904222,5.960000
-0.029738,2.650285,-6.755771,-5.747346,5.980000
-0.166506,2.527282,-6.899724,-6.543327,6.000000
-0.304818,2.388998,-6.907415,-7.272390,6.020000
-0.441795,2.236958,-6.763979,-7.915761,6.040000
-0.574275,2.073074,-6.455446,-8.453213,6.060000
-0.698832,1.899681,-5.970092,-8.863050,6.080000
-0.811864,1.719529,-5.303068,-9.126944,6.100000
-0.909796,1.535620,-4.463067,-9.239485,6.120000
-0.989405,1.350851,-3.476632,-9.218054,6.140000
-1.048159,1.167505,-2.385074,-9.106422,6.160000
-1.084408,0.986767,-1.233083,-8.969263,6.180000
-1.097307,0.808402,-0.053791,-8.882207,6.200000
-1.086445,0.630609,1.144033,-8.926181,6.220000
-1.051263,0.449877,2.385983,-9.193357,6.240000
-0.990246,0.260567,3.744793,-9.810340,6.260000
-0.899772,0.053804,5.362449,-10.982275,6.280000
-0.772693,-0.184339,7.425448,-12.980331,6.300000
-0.602177,-0.467939,9.442203,-15.174600,6.320000
-0.413156,-0.768312,9.001394,-14.273439,6.340000
-0.251256,-1.027672,7.191360,-11.688012,6.360000
-0.122250,-1.240825,5.798879,-9.757135,6.380000
-0.016343,-1.422139,4.850985,-8.456273,6.400000
0.073625,-1.581558,4.182224,-7.533714,6.420000
0.152103,-1.724973,3.689180,-6.837203,6.440000
0.221964,-1.855980,3.312896,-6.282430,6.460000
0.285153,-1.976896,3.017119,-5.822452,6.480000
0.343012,-2.089342,2.776062,-5.432768,6.500000
0.396414,-2.194612,2.567805,-5.104430,6.520000
0.445803,-2.293942,2.371437,-4.839719,6.540000
0.491221,-2.388681,2.167697,-4.646848,6.560000
0.532365,-2.480342,1.942503,-4.532641,6.580000
0.568741,-2.570505,1.690830,-4.495782,6.600000
0.599852,-2.660615,1.417488,-4.524928,6.620000
0.625371,-2.751826,1.133801,-4.602770,6.640000
0.645222,-2.844937,0.852658,-4.712390,6.660000
0.659569,-2.940451,0.585024,-4.841587,6.680000
0.668767,-3.038686,0.338907,-4.983831,6.700000
0.673306,-3.139877,0.119953,-5.137117,6.720000
0.673775,-3.244249,-0.067476,-5.302299,6.740000
0.670844,-3.352064,-0.219370,-5.481784,6.760000
0.665266,-3.463637,-0.331480,-5.678814,6.780000
0.657882,-3.579359,-0.398984,-5.897255,6.800000
0.649641,-3.699701,-0.416306,-6.141817,6.820000
0.641608,-3.825246,-0.376942,-6.418628,6.840000
0.634992,-3.956717,-0.273173,-6.736239,6.860000
0.631173,-4.095049,-0.095504,-7.107159,6.880000
0.631746,-4.241482,0.168365,-7.550223,6.900000
0.638592,-4.397725,0.535162,-8.094112,6.920000
0.653989,-4.566199,1.027793,-8.781873,6.940000
0.680726,-4.750349,1.673223,-9.672143,6.960000
0.721993,-4.954771,2.474702,-10.809731,6.980000
0.779829,-5.183601,3.273596,-12.051064,7.000000
0.848936,-5.432783,3.471664,-12.684734,7.020000
0.910882,-5.682256,2.566048,-12.094064,7.040000
0.947873,-5.913116,1.099941,-10.977151,7.060000
0.954869,-6.122151,-0.385353,-9.956960,7.080000
0.933260,-6.312495,-1.754277,-9.097030,7.100000
0.885553,-6.486441,-2.995001,-8.298823,7.120000
0.814335,-6.644174,-4.104316,-7.460861,7.140000
0.722314,-6.784108,-5.073844,-6.509182,7.160000
0.612348,-6.903492,-5.899110,-5.401538,7.180000
0.487250,-6.999034,-6.590350,-4.124782,7.200000
0.349424,-7.067401,-7.179182,-2.686143,7.220000
0.200410,-7.105492,-7.719923,-1.099166,7.240000
0.040463,-7.110423,-8.285509,0.629555,7.260000
-0.131681,-7.079402,-8.949187,2.491051,7.280000
-0.318164,-7.010608,-9.697986,4.359379,7.300000
-0.517883,-6.908869,-10.169998,5.626857,7.320000
-0.718617,-6.796240,-9.745841,5.373949,7.340000
-0.903367,-6.701390,-8.687710,4.029294,7.360000
-1.066264,-6.635458,-7.626915,2.592358,7.380000
-1.209646,-6.596011,-6.739876,1.397290,7.400000
-1.336828,-6.577858,-5.998072,0.457468,7.420000
-1.450192,-6.576280,-5.350545,-0.266974,7.440000
-1.551226,-6.587341,-4.760110,-0.811576,7.460000
-1.640822,-6.607725,-4.203928,-1.203214,7.480000
-1.719525,-6.634594,-3.669320,-1.463391,7.500000
-1.787696,-6.665510,-3.150067,-1.610946,7.520000
-1.845613,-6.698398,-2.643691,-1.663411,7.540000
-1.893525,-6.731524,-2.149556,-1.637466,7.560000
-1.931677,-6.763480,-1.667609,-1.548967,7.580000
-1.960309,-6.793165,-1.197604,-1.412858,7.600000
-1.979655,-6.819770,-0.738709,-1.243124,7.620000
-1.989922,-6.842754,-0.289361,-1.052850,7.640000
-1.991278,-6.861830,0.152708,-0.854381,7.660000
-1.983843,-6.876953,0.590368,-0.659564,7.680000
-1.967671,-6.888314,1.026957,-0.480039,7.700000
-1.942747,-6.896335,1.466192,-0.327556,7.720000
-1.908978,-6.901677,1.912151,-0.214296,7.740000
-1.866186,-6.905254,2.369405,-0.153223,7.760000
-1.814091,-6.908248,2.843342,-0.158469,7.780000
-1.752296,-6.912140,3.340791,-0.245827,7.800000
-1.680242,-6.918748,3.871016,-0.433411,7.820000
-1.597151,-6.930285,4.447110,-0.742445,7.840000
-1.501932,-6.949419,5.087455,-1.197563,7.860000
-1.393070,-6.979329,5.815194,-1.823473,7.880000
-1.268617,-7.023553,6.647268,-2.625439,7.900000
-1.126687,-7.085005,7.546457,-3.515644,7.920000
-0.967597,-7.162577,8.311734,-4.153746,7.940000
-0.797452,-7.245719,8.609158,-4.002908,7.960000
-0.626645,-7.316765,8.412944,-2.992369,7.980000
-0.462202,-7.362655,8.019874,-1.560859,8.000000
-0.305876,-7.378580,7.615890,-0.027788,8.020000
-0.157459,-7.363854,7.225642,1.494841,8.040000
-0.017017,-7.319097,6.810053,2.971181,8.060000
0.114423,-7.245468,6.316892,4.378375,8.080000
0.234826,-7.144568,5.699487,5.695172,8.100000
0.341347,-7.018350,4.924633,6.909665,8.120000
0.430640,-6.868807,3.974955,8.031811,8.140000
0.499147,-6.697423,2.846124,9.103697,8.160000
0.543315,-6.504493,1.542873,10.201065,8.180000
0.559864,-6.288647,0.094680,11.403504,8.200000
0.547120,-6.047987,-1.333330,12.637417,8.220000
0.510347,-5.786851,-2.182704,13.303915,8.240000
0.467854,-5.524701,-1.892582,12.721454,8.260000
0.439151,-5.282543,-0.932351,11.459298,8.280000
0.430700,-5.065881,0.068611,10.238197,8.300000
0.440805,-4.871608,0.912009,9.221676,8.320000
0.465993,-4.695909,1.578226,8.370804,8.340000
0.502848,-4.536055,2.081559,7.628918,8.360000
0.548278,-4.390293,2.438265,6.956741,8.380000
0.599499,-4.257471,2.663080,6.332324,8.400000
0.654016,-4.136748,2.770178,5.745907,8.420000
0.709616,-4.027398,2.773863,5.195146,8.440000
0.764377,-3.928696,2.688523,4.681419,8.460000
0.816657,-3.839877,2.528147,4.207180,8.480000
0.865089,-3.760133,2.305767,3.774245,8.500000
0.908552,-3.688630,2.033014,3.382818,8.520000
0.946141,-3.624555,1.719873,3.031081,8.540000
0.977133,-3.567148,1.374617,2.715148,8.560000
1.000956,-3.515748,1.003868,2.429235,8.580000
1.017153,-3.469827,0.612731,2.165922,8.600000
1.025355,-3.429019,0.204944,1.916429,8.620000
1.025257,-3.393144,-0.216960,1.670867,8.640000
1.016592,-3.362229,-0.651490,1.418456,8.660000
0.999117,-3.336527,-1.098015,1.147701,8.680000
0.972592,-3.316524,-1.556522,0.846592,8.700000
0.936775,-3.302948,-2.027276,0.502860,8.720000
0.891419,-3.296774,-2.510326,0.104401,8.740000
0.836285,-3.299212,-3.004812,-0.360046,8.760000
0.771167,-3.311680,-3.508045,-0.899874,8.780000
0.695941,-3.335752,-4.014412,-1.521212,8.800000
0.610633,-3.373082,-4.514235,-2.225284,8.820000
0.515511,-3.425282,-4.992818,-3.006801,8.840000
0.411194,-3.493786,-5.430003,-3.852840,8.860000
0.298755,-3.579689,-5.800455,-4.742589,8.880000
0.179816,-3.683596,-6.074733,-5.648102,8.900000
0.056619,-3.805496,-6.221034,-6.535850,8.920000
-0.067959,-3.944666,-6.207565,-7.368912,8.940000
-0.190426,-4.099638,-6.005867,-8.110126,8.960000
-0.306797,-4.268239,-5.595531,-8.727246,8.980000
-0.412806,-4.447763,-4.969938,-9.200731,9.000000
-0.504231,-4.635316,-4.140681,-9.532796,9.020000
-0.577264,-4.828326,-3.136710,-9.753909,9.040000
-0.628785,-5.025121,-1.995565,-9.923451,9.060000
-0.656383,-5.225477,-0.747900,-10.126105,9.080000
-0.658037,-5.431106,0.601158,-10.471590,9.100000
-0.631404,-5.646264,2.093154,-11.109129,9.120000
-0.572621,-5.878896,3.842760,-12.266670,9.140000
-0.474770,-6.142533,6.019491,-14.252097,9.160000
-0.331177,-6.452399,8.160355,-16.566948,9.180000
-0.167346,-6.782826,7.711038,-15.860728,9.200000
-0.034005,-7.074509,5.600585,-13.333777,9.220000
0.059514,-7.321783,3.834892,-11.540227,9.240000
0.122120,-7.540886,2.478867,-10.464659,9.260000
0.160254,-7.743283,1.364689,-9.832575,9.280000
0.177633,-7.936005,0.391571,-9.476115,9.300000
0.176528,-8.123497,-0.488623,-9.296652,9.320000
0.158591,-8.308616,-1.292666,-9.229893,9.340000
0.125341,-8.493131,-2.018520,-9.229466,9.360000
0.078453,-8.678004,-2.653972,-9.260980,9.380000
0.019888,-8.863623,-3.183773,-9.301033,9.400000
-0.048107,-9.050017,-3.595129,-9.337277,9.420000
-0.123075,-9.237067,-3.880307,-9.366697,9.440000
-0.202453,-9.424652,-4.035725,-9.391034,9.460000
-0.283621,-9.612678,-4.058553,-9.410427,9.480000
-0.363877,-9.800992,-3.943334,-9.417977,9.500000
-0.440377,-9.989218,-3.681551,-9.398446,9.520000
-0.510111,-10.176625,-3.265987,-9.333452,9.540000
-0.570000,-10.362176,-2.698630,-9.212292,9.560000
-0.617156,-10.544788,-1.996959,-9.042879,9.580000
-0.649192,-10.723765,-1.192638,-8.855427,9.600000
-0.664419,-10.899194,-0.321668,-8.696703,9.620000
-0.661801,-11.072183,0.588707,-8.620595,9.640000
-0.640667,-11.244940,1.530529,-8.683307,9.660000
-0.600254,-11.420856,2.522450,-8.948484,9.680000
-0.539087,-11.604807,3.618917,-9.505619,9.700000
-0.454090,-11.804016,4.930631,-10.509167,9.720000
-0.339105,-12.029992,6.660304,-12.243434,9.740000
-0.183455,-12.300838,8.972603,-14.974612,9.760000
0.013997,-12.623046,10.277778,-16.625234,9.780000
0.203125,-12.934612,8.334744,-14.170923,9.800000
0.347138,-13.191350,6.168535,-11.677371,9.820000
0.453893,-13.408386,4.587962,-10.163275,9.840000
0.532990,-13.602065,3.363976,-9.286847,9.860000
0.589636,-13.782450,2.321411,-8.804475,9.880000
0.626424,-13.955980,1.367364,-8.584950,9.900000
0.644617,-14.127068,0.457486,-8.549448,9.920000
0.644930,-14.298789,-0.420486,-8.639030,9.940000
0.628087,-14.473103,-1.254465,-8.799830,9.960000
0.595238,-14.650910,-2.015338,-8.980154,9.980000
0.548198,-14.832144,-2.667809,-9.136465,10.000000
0.489445,-15.016027,-3.183010,-9.242578,10.020000
0.421891,-15.201477,-3.546834,-9.293929,10.040000
0.348580,-15.387498,-3.759665,-9.302522,10.060000
0.272457,-15.573412,-3.829634,-9.286011,10.080000
0.196288,-15.758866,-3.765490,-9.258235,10.100000
0.122690,-15.943711,-3.573376,-9.225700,10.120000
0.054177,-16.127871,-3.257823,-9.189842,10.140000
-0.006838,-16.311291,-2.824723,-9.152314,10.160000
-0.058090,-16.493997,-2.283524,-9.120227,10.180000
